# ID RA Dec
010196 184.2066750 46.2350944
010199 129.4111042 43.4345417
010203 130.0116000 43.4424583
010204 130.4002708 43.4006056
010205 183.8921292 47.0614583
010210 160.4504167 58.0553694
010211 130.2190042 44.2917583
010212 151.3507333 2.1478833
010215 160.6977917 58.0075444
010216 186.6800292 46.6268528
010217 131.1017125 43.7448028
010218 148.6352917 1.9437583
010222 184.2366500 47.2893556
010224 159.6310667 58.2649167
010227 150.4009375 2.5108361
010230 185.2950625 47.8037306
010232 185.1693250 48.1089417
010233 184.0851417 47.8438306
010234 184.7123917 47.9445139
010237 185.1944208 48.3204250
010241 130.2012083 45.3424972
010244 159.5880417 58.7726222
010250 129.0126917 45.1627889
010275 215.1615625 52.9576389
010278 214.1034000 54.6426306
010293 211.5441542 54.4923028
010334 211.8587292 54.1760361
010347 211.5682917 53.2065417
010362 212.5304167 53.1367111
010367 211.5650333 53.8581278
010370 211.1491958 52.8017472
010408 159.9605083 57.4906778
010410 161.5589292 57.3059833
010411 162.0657667 57.4054111
010421 159.7013292 58.6190194
010430 131.3040083 43.8768556
010433 151.0451292 1.6430889
010451 150.3631500 1.6715806
010454 164.4222042 57.6134361
020021 131.7111917 45.4920333
020026 183.8033458 46.0445556
020027 186.3361583 46.0152083
020028 129.9487125 43.0120944
020029 130.8212375 43.0217056
020032 149.8529125 1.0227056
020033 184.2666250 46.0729889
020034 184.5505250 46.0862083
020035 185.5831417 45.9826917
020042 151.2834667 1.4786389
020047 149.2351583 1.6138333
020053 132.0627917 43.6365111
020056 211.1955917 53.2138250
020057 214.5850542 53.0117111
020062 128.9154500 44.0881417
020070 186.3077500 46.6273250
020071 186.7873500 46.7462028
020075 214.7287667 53.9991889
020076 150.6580083 2.7834944
020077 162.6566417 58.6721472
020079 159.5212333 58.8075000
020082 131.4429917 44.9702278
020090 212.8794125 53.5795778
020091 214.5438500 53.5487111
020095 129.4108042 44.4596611
020096 161.3141125 58.1927111
020098 186.4189750 47.3748667
020104 149.6532208 2.2938056
020114 130.8154417 45.0261444
020120 150.7546208 2.8747000
020121 162.0149958 58.8597528
020123 185.6066667 48.0412944
020132 150.0883250 1.4181250
020148 159.5915750 57.3900833
020152 150.3292500 0.8588333
020166 183.8384042 47.5262472
020176 211.8624000 53.3429167
020182 149.4782750 2.1198861
020185 162.3875375 57.9391000
020188 185.7345083 46.9296889
020190 129.4189875 44.1427528
020194 149.6450458 0.8311389
020198 161.7189000 57.1293083
020200 213.0484833 53.4631889
020216 161.0192958 59.1614556
030003 214.2112208 52.5907861
030005 186.3475583 47.4864333
030006 162.5245125 58.7774194
030007 212.3485458 53.6186000
030008 148.9221875 1.6115528
030010 150.1902958 2.0231583
030013 150.2645375 1.1186444
030059 163.9876250 57.1868444
030061 186.9541917 47.3362861
030063 185.2071292 46.2277222
030064 185.4339917 46.2052389
030065 162.3483542 59.5253222
030066 150.1833917 3.4039750
030068 183.6662750 48.0894056
030077 162.4865292 58.3671194
030084 149.0040667 3.2685194
030105 149.8023750 2.8533556
030129 183.1758333 46.9915222
030130 185.4677417 46.5437806
030164 213.4611583 52.5030417
030173 148.8227667 1.7976583
030178 149.5662542 1.5594750
030180 149.5186625 1.4557972
030185 150.1941750 1.3438083
030203 214.4063875 52.8563278
030211 214.3187208 53.2171028
030216 213.7357208 54.2114889
030224 185.6755250 47.6589417
030232 149.9017375 3.1827056
030245 186.5360208 46.5146722
030252 184.3707167 48.0939028
030255 149.4971667 3.2895083
030263 185.1987542 48.1669806
030268 149.4024958 2.2971306
030279 150.3758167 2.9092167
030280 185.6988958 47.8624944
040001 161.0267417 57.8711083
040006 149.3845875 1.7310028
040042 150.0771542 1.2647861
040051 150.8176708 2.5953250
040088 163.0047875 59.5337750
040098 162.6292167 59.2497000
040111 150.5018750 2.0605056
040121 159.7666792 58.5904833
040122 159.8311292 58.6296528
040129 149.3216125 1.6870667
040130 149.7457792 3.2937611
040133 150.8690958 2.7394667
040137 214.4604333 52.8010500
040139 214.2912458 53.0864972
040140 162.7695458 58.4253944
040146 215.0442917 53.5617611
040147 213.9185292 54.2288472
040150 162.0977958 57.1482028
040151 185.4569750 46.4513028
040152 164.4250500 57.6068750
040153 185.5416458 46.4830333
040163 185.5193708 47.0101611
040165 185.2679417 47.7184944
040166 214.1196167 54.0535611
040168 186.7949625 47.1897444
040169 162.3721375 58.7664028
040170 183.5889000 47.8431250
040174 161.1730750 59.3667611
040176 185.2431583 45.9347111
040177 162.9786333 56.7882861
040185 162.7733375 57.4547417
040192 160.6949542 58.3927139
040195 159.6721833 58.8748917
040196 159.6009708 58.4059806
040198 161.2890542 58.5546222
040201 184.4595833 47.4467611
040204 161.6417750 58.5875861
040301 213.2578042 54.4629806
040308 213.3564292 52.3595444
040313 184.1049583 48.3658111
040316 212.8478375 52.4346139
040318 214.3324958 53.1125778
040326 131.9387167 43.3649778
040343 159.7905583 58.6775972
040353 185.0828500 46.6206306
040354 185.1086583 46.6946417
040355 184.9374625 46.1197778
040363 161.4784542 57.2382361
040377 160.2161917 58.8815278
040382 185.3793250 47.4274611
040412 164.0181042 57.4513583
040413 159.7232542 57.7669306
040421 186.3694917 46.3437111
040422 159.8594917 57.2052611
040434 185.3526042 45.8948944
040436 163.1593875 56.8552000
040444 184.6684583 47.5327222
040445 183.7852208 47.5273583
040459 186.0022958 47.3525389
040473 164.5921750 58.4831306
040477 245.1417167 54.8067139
040479 163.9426000 57.7690389
040511 241.9167500 55.1249833
040512 242.0043042 54.2234000
040530 242.7075458 54.8185000
040539 211.6645542 52.4217167
040540 212.1560500 52.6603222
040542 211.8812042 53.9789250
040545 213.5104583 53.5619306
040548 186.7647542 46.8899417
040554 184.9945542 47.6571444
040555 186.4774292 46.4948917
040561 186.4188208 46.5600500
040571 162.5519917 58.0954361
040573 183.5242542 47.2512444
040577 185.9583083 46.9821250
